200200022401 19841  334  350.94
200200022401 2 041  334  350.94
200200022408 1 041  333   20.05
200200022412 1 041  331   10.03
200200022412 29941  331   10.03
200200026554 19712  121    6.30
200200026554 2 012  121    6.30
200200026567 19912  125   88.24
200200026567 29412  125   88.24
200200026579 19912  126  107.14
200200026579 2 012  126  107.14
200200026585 1 012  122    6.30
200200026585 2 012  122    6.30
200200026587 1 012  122    6.30
200200026587 2 012  122    6.30
200200026588 19412  122    6.30
200200026588 29412  122    6.30
200200026630 1 112  124  352.95
200200026630 29412  124  352.95
200210219675 194 2  216  108.58
200210219675 211 2  216  108.58
200210219680 194 2  313   27.15
200210219680 294 2  313   27.15
200210219682 194 2  316  108.58
200210219682 294 2  316  108.58
200210219687 194 2  411   53.89
200210219720 194 2  311   27.15
200210219720 297 2  311   27.15
200210219721 194 2  315   81.44
200210219721 294 2  315   81.44
200210219724 194 2  314  352.90
200210219734 111 2 1611  106.65
200210219734 294 2 1611  106.65
200210219735 194 2 1614  319.94
200210219738 194 2  914  345.14
200210219740 194 2  916  115.05
200210219748 194 2  616   98.56
200210219748 294 2  616   98.56
200210219748 394 2  616   98.56
200210219748 494 2  616   98.56
200210219751 194 2  614  344.96
200210219753 194 2  615   98.56
200210219754 198 2  616   98.56
200210219759 194 2  414  323.32
200210219760 194 2  416  107.77
200210219764 194 2 1014  359.41
200210219765 194 2 1016   89.85
200210219765 294 2 1016   89.85
200210219766 194 2 1015   89.85
200210219779 194 2  316  108.58
200210219787 194 2  216  108.58
200210219787 294 2  216  108.58
200210219791 194 2  212   27.15
200210219791 294 2  212   27.15
200210219791 394 2  212   27.15
200210219793 197 2  216  108.58
200210219793 294 2  216  108.58
200210219798 194 2  216  108.58
200210219798 294 2  216  108.58
200210219800 194 2  213   27.15
200210219806 194 2  914  345.14
200210219807 194 2  915  115.05
200210219807 294 2  915  115.05
200210219810 194 2  916  115.05
200210219811 194 2  911   57.52
200210219811 294 2  911   57.52
200210219811 394 2  911   57.52
200210219816 194 2 1014  359.41
200210219816 212 2 1014  359.41
200210219848 194 2  314  352.90
200210219848 294 2  314  352.90
200210219854 194 2  316  108.58
200210219860 194 2  413   53.89
200210219860 294 2  413   53.89
200210219862 194 2  411   53.89
200210219865 194 2  414  323.32
200210219865 294 2  414  323.32
200210219871 194 2  916  115.05
200210219873 194 2  916  115.05
200210219877 194 2  916  115.05
200210219878 194 2  911   57.52
200210219879 194 2  914  345.14
200210219882 194 2  915  115.05
200210219888 194 2  916  115.05
200210219891 194 2 1616  106.65
200210219892 194 2 1614  319.94
200210219892 297 2 1614  319.94
200210219895 194 2  616   98.56
200210219903 1 8 2  615   98.56
200210219903 294 2  615   98.56
200210219904 194 2  614  344.96
200210219905 194 2  616   98.56
200210219914 194 2  614  344.96
200210219917 194 2  616   98.56
200210219921 194 2  615   98.56
200210219921 294 2  615   98.56
200210219922 194 2  616   98.56
200210219927 194 2  614  344.96
200210219927 297 2  614  344.96
200210219940 194 2  416  107.77
200210219940 294 2  416  107.77
200210219940 394 2  416  107.77
200210219943 194 2  414  323.32
200210219943 294 2  414  323.32
200210219950 194 2 1014  359.41
200210219951 194 2 1016   89.85
200210219953 194 2 1016   89.85
200210219954 194 2 1016   89.85
200210219955 194 2 1016   89.85
200210219962 194 2  615   98.56
200210219962 294 2  615   98.56
200210219964 194 2  616   98.56
200210219969 194 2  614  344.96
200210219971 194 2  116  108.58
200210219981 194 2  114  352.90
200210219985 194 2  115   81.44
200210219985 294 2  115   81.44
200210219986 194 2  113   27.15
200210219991 194 2  116  108.58
200210219991 294 2  116  108.58
200210219996 194 2  914  345.14
200210219998 194 2  915  115.05
200210220000 194 2  916  115.05
200210220000 294 2  916  115.05
200210220004 194 2 1616  106.65
200210220006 197 2 1614  319.94
200210220018 197 2  311   27.15
200210220041 194 2  414  323.32
200210220041 297 2  414  323.32
200210220043 197 2  412   53.89
200210220047 199 2 1014  359.41
200210220047 294 2 1014  359.41
200210220048 194 2 1016   89.85
200210220048 294 2 1016   89.85
200210220049 194 2 1016   89.85
200210220053 194 2  314  352.90
200210220055 194 2  315   81.44
200210220059 194 2  214  352.90
200210220059 294 2  214  352.90
200210220061 197 2  216  108.58
200210220065 194 2  215   81.44
200210220067 194 2  211   27.15
200210220067 294 2  211   27.15
200210220069 194 2  616   98.56
200210220078 194 2  912   57.52
200210220078 294 2  912   57.52
200210220082 194 2  914  345.14
200210220082 294 2  914  345.14
200210220083 194 2  916  115.05
200210220083 294 2  916  115.05
200210220100 194 2  113   27.15
200210220100 294 2  113   27.15
200210220102 194 2  111   27.15
200210220103 194 2  115   81.44
200210220104 194 2  112   27.15
200210220104 294 2  112   27.15
200210220110 194 2  114  352.90
200210220110 294 2  114  352.90
200210220112 194 2  111   27.15
200210220114 194 2  115   81.44
200210220114 294 2  115   81.44
200210220117 194 2  113   27.15
200210220117 294 2  113   27.15
200210220123 194 2  216  108.58
200210220123 294 2  216  108.58
200210220129 194 2  212   27.15
200210220129 297 2  212   27.15
200210220130 194 2  216  108.58
200210220135 194 2  313   27.15
200210220139 194 2  316  108.58
200210220139 294 2  316  108.58
200210220146 194 2  614  344.96
200210220146 297 2  614  344.96
200210220151 197 2  616   98.56
200210220152 194 2  612   49.28
200210220152 297 2  612   49.28
200210220154 197 2  616   98.56
200210220156 194 2  616   98.56
200210220159 198 2  616   98.56
200210220159 294 2  616   98.56
200210220159 394 2  616   98.56
200210220162 194 2 1016   89.85
200210220162 294 2 1016   89.85
200210220168 194 2 1614  319.94
200210220182 197 2  314  352.90
200210220182 294 2  314  352.90
200210220183 197 2  315   81.44
200210220183 294 2  315   81.44
200210220183 394 2  315   81.44
200210220189 194 2  915  115.05
200210220192 194 2  916  115.05
200210220192 294 2  916  115.05
200210220193 195 2  914  345.14
200210220198 194 2  913   57.52
200210220201 194 2  616   98.56
200210220202 194 2  615   98.56
200210220202 294 2  615   98.56
200210220209 194 2  616   98.56
200210220210 194 2  614  344.96
200210220215 199 2  616   98.56
200210220223 194 2  414  323.32
200210220224 194 2  416  107.77
200210220224 294 2  416  107.77
200210220226 194 2  416  107.77
200210220228 194 2  415  107.77
200210220238 194 2 1016   89.85
200210220243 194 2  414  323.32
200210220243 294 2  414  323.32
200210220244 194 2  416  107.77
200210220244 294 2  416  107.77
200210220246 194 2  416  107.77
200210220246 294 2  416  107.77
200210220251 194 2  215   81.44
200210220258 194 2  915  115.05
200210220258 294 2  915  115.05
200210220259 194 2  916  115.05
200210220261 194 2  914  345.14
200210220261 294 2  914  345.14
200210220264 194 2  915  115.05
200210220269 194 2  916  115.05
200210220269 294 2  916  115.05
